lake,density,survival,ln.growth,color,1.1,2.1,3.1,4.1,5.1,6.1,1,2,3,4,5,4.5,6,7,8,10,11,12,11.5,13
CP,H,0,0,orange,0.514,53.451,0.009985995,-6.402,108.732,0.290234439,0.16933889,0.239098247,0.160685539,0.307185234,0.256908516,0.282046875,0.894025256,0.451206161,2.844882982,0.188701704,0.132883671,0.144963648,0.138923659,0.559690981
CP,H,1,-2.039093306,orange,6.905,48.561,0.009748171,-1.531,98.511,0.360598711,0.212162086,0.289096827,0.174367666,0.33790213,0.260451119,0.299176624,1.04920855,0.494137966,3.211986586,0.214609549,0.160529565,0.156682248,0.158605907,0.679231688
CP,H,0,0,orange,5.718,49.735,0.033202661,12.554,103.664,0.374402105,0.25980654,0.323770649,0.188620538,0.338347515,0.281229009,0.309788262,1.098752147,0.559093805,3.258701198,0.23839351,0.12684386,0.174464818,0.150654339,0.723626392
CP,H,0,0,orange,8.047,48.811,0.028523309,1.017,100.596,0.307499058,0.176986131,0.222582329,0.155834814,0.309347335,0.238418172,0.273882754,0.947530196,0.468380434,2.956222065,0.200958186,0.136683886,0.151193717,0.143938801,0.58391549
CP,H,0,0,orange,-1.572,51.78,0.011269136,-6.892,99.684,0.317502005,0.19797512,0.27645272,0.167116707,0.305968356,0.257833272,0.281900814,0.926771088,0.451999551,2.911785616,0.204901486,0.149213751,0.150949272,0.150081512,0.588938862
CP,H,0,0,orange,6.301,49.042,0.012120909,0.604,95.327,0.318566364,0.192529072,0.235942548,0.157116582,0.313944418,0.237279971,0.275612195,0.918849886,0.457392801,2.909856048,0.177369631,0.137095289,0.139528722,0.138312005,0.591626073
CP,H,0,0,orange,2.159,49.16,0.014568798,-4.674,97.903,0.301157148,0.204911643,0.254923408,0.189748502,0.323558674,0.263374797,0.293466735,0.899147561,0.449742,2.951760877,0.15849472,0.136903994,0.136060205,0.1364821,0.592470017
CP,H,0,0,orange,-6.929,51.06,0.011294545,-6.239,106.112,0.33862043,0.257023489,0.325479351,0.176077534,0.306755807,0.256487164,0.281621485,0.994816669,0.488999312,3.141332631,0.233775399,0.180504999,0.182153637,0.181329318,0.642283396
CP,H,0,0,orange,-3.979,45.97,0.009187629,-0.556,100.307,0.294841193,0.211707172,0.260319893,0.160386529,0.275998536,0.212747817,0.244373176,0.769840352,0.379524029,2.634364221,0.201238055,0.13920294,0.151834039,0.14551849,0.485770882
CP,H,0,0,orange,-3.491,52.134,0.010960177,-9.361,98.492,0.289650637,0.186928606,0.239879979,0.162858008,0.302745561,0.251529944,0.277137753,0.901557371,0.472551049,2.842769956,0.195029272,0.151239493,0.147242723,0.149241108,0.572080872
CP,H,0,0,orange,0.897,47.664,0.012019884,-6.478,93.998,0.271173135,0.151209471,0.222671876,0.173021234,0.295409494,0.2407664,0.268087947,0.8387206,0.415785914,2.702105304,0.193654973,0.134128182,0.137620671,0.135874426,0.525228443
CP,H,0,0,orange,-2.185,49.866,0.011746596,-4.637,99.947,0.33341968,0.204796216,0.27662898,0.176224773,0.316727412,0.257578947,0.28715318,0.94858115,0.475915747,3.006426536,0.198424635,0.168256427,0.159310931,0.163783679,0.57755978
CP,H,1,-1.4672227,orange,-3.553,47.112,0.015341382,-4.143,99.919,0.295721256,0.241731332,0.291553567,0.177575052,0.290421227,0.235135636,0.262778431,0.859190463,0.439372406,2.759229951,0.21057327,0.137937456,0.137661038,0.137799247,0.528977974
CP,H,0,0,orange,-2.767,54.205,0.014526296,-8.355,100.935,0.285837986,0.198286389,0.257385575,0.157207355,0.288676242,0.251609025,0.270142633,0.878495613,0.451456698,2.768230136,0.195629261,0.152508039,0.145104297,0.148806168,0.598785651
